="{Table A3: Marginal effects: Robussness I}"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="",="",="",="",="",="",="(0.016)",="(0.015)",="(0.018)"
="2014 bextranj",="",="",="",="",="",="",="0.013",="-0.015",="-0.010"
="",="",="",="",="",="",="",="(0.026)",="(0.026)",="(0.030)"
="2014 exporter",="",="",="",="",="",="",="-0.002",="0.021",="0.020"
="",="",="",="",="",="",="",="(0.021)",="(0.020)",="(0.023)"
="2014 ManufAT",="",="",="",="",="",="",="0.060**",="0.047*",="0.051"
="",="",="",="",="",="",="",="(0.027)",="(0.026)",="(0.032)"
="2014 ManufTM",="",="",="",="",="",="",="0.031*",="0.008",="0.019"
="",="",="",="",="",="",="",="(0.018)",="(0.017)",="(0.020)"
="2014 ServAT",="",="",="",="",="",="",="0.023",="0.015",="0.033"
="",="",="",="",="",="",="",="(0.027)",="(0.026)",="(0.030)"
="2014 ServRest",="",="",="",="",="",="",="-0.005",="-0.001",="-0.012"
="",="",="",="",="",="",="",="(0.025)",="(0.024)",="(0.027)"
="2014 z_cost",="",="",="",="",="",="",="0.000",="0.000",="0.000"
="",="",="",="",="",="",="",="(.)",="(.)",="(.)"
="N",="2615",="2615",="2615",="2619",="2619",="2619",="2619",="2619",="2619"
="N_clust",="",="",="",="",="",="",="",="",=""
="df_m",="",="",="",="",="",="",="",="",=""
="r2_a",="",="",="",="",="",="",="",="",=""
="widstat",="",="",="",="",="",="",="",="",=""
="j",="",="",="",="",="",="",="",="",=""
="jp",="",="",="",="",="",="",="",="",=""
="Standard errors in parentheses"
="Source: Author's elaboration, based on The Spanish Technological innovation panel (PITEC)."
="* p<0.10, ** p<0.05, *** p<0.01"
